GEO_ID,NAME,id_Fix,Housingandincome,Housing_z,INDEX_housing,Broadband_Internet,Broadband_Z,INDEX_broadband,percentlingis,Lingiso_z,INDEX_linguistics,Associatesplus,Associatesplus_Z,INDEX_associates,Averagez,INDEXoverall,County,Tract Name,Quintile,Ranking Overall,% of Income on Housing,Access to Broadband Subscription,% Linguistically Isolated,% Population With Associate's Degree of Higher
id,Geographic Area Name,id_Fix,Housingandincome,Housing_z,INDEX_housing,Broadband_Internet,Broadband_Z,INDEX_broadband,percentlingis,Lingiso_z,INDEX_linguistics,Associatesplus,Associatesplus_Z,INDEX_associates,Averagez,INDEXoverall,County,Tract Name,Quintile,Ranking Overall,% of Income on Housing,Access to Broadband Subscription,% Linguistically Isolated,% Population With Associate's Degree of Higher
1400000US41045970900,"Census Tract 9709, Malheur County, Oregon",41045970900,85.60394808,2.127334428,1,65.51401869,0.121923569,3,95.63174382,-0.219783292,4,19.39445268,-0.713794077,4,1.315680629,2," Malheur County, Oregon","Census Tract 9709, Malheur County, Oregon",2,15,14.39605192,65.51401869,4.36825618,19.39445268
1400000US41045970700,"Census Tract 9707, Malheur County, Oregon",41045970700,81.35248679,0.869324638,1,58.78787879,-0.444690945,4,94.55696203,-0.619239267,4,28.62318841,0.713813259,1,0.519207686,3," Malheur County, Oregon","Census Tract 9707, Malheur County, Oregon",3,19,18.64751321,58.78787879,5.44303797,28.62318841
1400000US41045970600,"Census Tract 9706, Malheur County, Oregon",41045970600,80.60526316,0.648220746,2,59.88142292,-0.352570058,4,96.85863874,0.236207411,3,23.98673545,-0.003406786,3,0.528451313,3," Malheur County, Oregon","Census Tract 9706, Malheur County, Oregon",3,18,19.39473684,59.88142292,3.14136126,23.98673545
1400000US41045970500,"Census Tract 9705, Malheur County, Oregon",41045970500,80.76554384,0.69564789,2,60.6257379,-0.289868467,4,92.40360194,-1.41956223,5,21.90990991,-0.324674125,4,-1.338456932,4," Malheur County, Oregon","Census Tract 9705, Malheur County, Oregon",4,32,19.23445616,60.6257379,7.59639806,21.90990991
1400000US41045970400,"Census Tract 9704, Malheur County, Oregon",41045970400,75.54858934,-0.848051882,4,47.23203769,-1.418162712,5,96.21486854,-0.003057764,4,14.61880089,-1.452547003,5,-3.72181936,5," Malheur County, Oregon","Census Tract 9704, Malheur County, Oregon",5,40,24.45141066,47.23203769,3.78513146,14.61880089
1400000US41045970300,"Census Tract 9703, Malheur County, Oregon",41045970300,78.62260163,0.061550084,3,55.37091988,-0.732537844,5,96.34177539,0.04410874,3,31.41153082,1.145146239,1,0.518267219,3," Malheur County, Oregon","Census Tract 9703, Malheur County, Oregon",3,20,21.37739837,55.37091988,3.65822461,31.41153082
1400000US41045970200,"Census Tract 9702, Malheur County, Oregon",41045970200,79.72015741,0.386317458,2,59.79040265,-0.360237666,4,94.01803387,-0.819538596,5,25.13352183,0.173991366,3,-0.619467438,3," Malheur County, Oregon","Census Tract 9702, Malheur County, Oregon",3,25,20.27984259,59.79040265,5.98196613,25.13352183
1400000US41045940000,"Census Tract 9400, Malheur County, Oregon",41045940000,na,na,na,na,na,na,na,na,na,na,na,na,na,na," Malheur County, Oregon","Census Tract 9400, Malheur County, Oregon",na,na,na,na,na,na
1400000US16087970300,"Census Tract 9703, Washington County, Idaho",16087970300,80.51708218,0.622127945,2,61.58711903,-0.208881079,3,94.12360689,-0.780301074,4,18.61167002,-0.834883931,5,-1.201938139,4," Washington County, Idaho","Census Tract 9703, Washington County, Idaho",4,30,19.48291782,61.58711903,5.87639311,18.61167002
1400000US16087970200,"Census Tract 9702, Washington County, Idaho",16087970200,76.43894567,-0.584594943,4,44.29312581,-1.66573861,5,97.05203794,0.308086619,3,20.16505203,-0.594588877,4,-2.536835811,5," Washington County, Idaho","Census Tract 9702, Washington County, Idaho",5,37,23.56105433,44.29312581,2.94796206,20.16505203
1400000US16087970100,"Census Tract 9701, Washington County, Idaho",16087970100,83.40535869,1.476770589,1,62.00814111,-0.173413898,3,100,1.403733254,1,27.36434109,0.519080229,2,3.226170175,1," Washington County, Idaho","Census Tract 9701, Washington County, Idaho",1,5,16.59464131,62.00814111,0,27.36434109
1400000US16075960400,"Census Tract 9604, Payette County, Idaho",16075960400,79.936,0.450185401,2,69.90185387,0.491557734,2,97.5931352,0.509192123,3,24.60961899,0.092948028,3,1.543883286,2," Payette County, Idaho","Census Tract 9604, Payette County, Idaho",2,12,20.064,69.90185387,2.4068648,24.60961899
1400000US16075960300,"Census Tract 9603, Payette County, Idaho",16075960300,79.98755745,0.465441278,2,69.84023476,0.486366899,2,96.21451104,-0.003190633,4,24.2418389,0.03605556,3,0.984673105,2," Payette County, Idaho","Census Tract 9603, Payette County, Idaho",2,16,20.01244255,69.84023476,3.78548896,24.2418389
1400000US16075960200,"Census Tract 9602, Payette County, Idaho",16075960200,78.69932358,0.084252152,3,55.50139276,-0.721546722,4,97.90972433,0.626856394,2,16.21043627,-1.206334476,5,-1.216772651,4," Payette County, Idaho","Census Tract 9602, Payette County, Idaho",4,31,21.30067642,55.50139276,2.09027567,16.21043627
1400000US16075960100,"Census Tract 9601, Payette County, Idaho",16075960100,82.38747554,1.175578392,1,60.96256684,-0.261493772,3,97.57815184,0.50362337,3,24.09470752,0.01329558,3,1.43100357,2," Payette County, Idaho","Census Tract 9601, Payette County, Idaho",2,14,17.61252446,60.96256684,2.42184816,24.09470752
1400000US16027022400,"Census Tract 224, Canyon County, Idaho",16027022400,79.01411741,0.177399824,3,71.6530484,0.63907953,2,98.56836077,0.871646793,1,27.59924386,0.555417701,2,2.243543847,2," Canyon County, Idaho","Census Tract 224, Canyon County, Idaho",2,10,20.98588259,71.6530484,1.43163923,27.59924386
1400000US16027022300,"Census Tract 223, Canyon County, Idaho",16027022300,79.84458384,0.423135308,2,72.27630969,0.691583477,1,96.32672789,0.038516149,3,26.04192355,0.314513425,2,1.467748359,2," Canyon County, Idaho","Census Tract 223, Canyon County, Idaho",2,13,20.15541616,72.27630969,3.67327211,26.04192355
1400000US16027022200,"Census Tract 222, Canyon County, Idaho",16027022200,83.59482102,1.5328326,1,54.48898927,-0.806832267,5,89.84466019,-2.370624646,5,20.75418202,-0.503455451,4,-2.148079764,5," Canyon County, Idaho","Census Tract 222, Canyon County, Idaho",5,36,16.40517898,54.48898927,10.15533981,20.75418202
1400000US16027022100,"Census Tract 221, Canyon County, Idaho",16027022100,82.83292978,1.307388554,1,59.63302752,-0.373495052,4,94.06610912,-0.801670833,4,23.98150823,-0.004215392,3,0.128007278,3," Canyon County, Idaho","Census Tract 221, Canyon County, Idaho",3,22,17.16707022,59.63302752,5.93389088,23.98150823
1400000US16027021904,"Census Tract 219.04, Canyon County, Idaho",16027021904,80.92,0.741351555,1,52.36641221,-0.985639575,5,90.82646975,-2.005722954,5,15.43209877,-1.326736703,5,-3.576747677,5," Canyon County, Idaho","Census Tract 219.04, Canyon County, Idaho",5,39,19.08,52.36641221,9.17353025,15.43209877
1400000US16027021903,"Census Tract 219.03, Canyon County, Idaho",16027021903,81.65088392,0.957620519,1,80.66345336,1.398122057,1,99.43830743,1.194973251,1,33.86811693,1.525159326,1,5.075875153,1," Canyon County, Idaho","Census Tract 219.03, Canyon County, Idaho",1,2,18.34911608,80.66345336,0.56169257,33.86811693
1400000US16027021901,"Census Tract 219.01, Canyon County, Idaho",16027021901,74.89299699,-1.042042026,5,72.66846361,0.724618785,1,97.85120616,0.605107394,2,26.79861766,0.431567601,2,0.719251754,2," Canyon County, Idaho","Census Tract 219.01, Canyon County, Idaho",2,17,25.10700301,72.66846361,2.14879384,26.79861766
1400000US16027021800,"Census Tract 218, Canyon County, Idaho",16027021800,82.47260308,1.20076768,1,68.34620073,0.360508475,2,98.35012411,0.790536431,2,26.0054178,0.308866294,2,2.660678879,1," Canyon County, Idaho","Census Tract 218, Canyon County, Idaho",1,7,17.52739692,68.34620073,1.64987589,26.0054178
1400000US16027021700,"Census Tract 217, Canyon County, Idaho",16027021700,75.53573497,-0.851855497,5,66.89084325,0.237908189,2,90.24088944,-2.223361135,5,16.9047307,-1.098933001,5,-3.936241445,5," Canyon County, Idaho","Census Tract 217, Canyon County, Idaho",5,41,24.46426503,66.89084325,9.75911056,16.9047307
1400000US16027021600,"Census Tract 216, Canyon County, Idaho",16027021600,74.8747192,-1.047450436,5,64.65517241,0.049573786,3,98.01488834,0.665941902,2,23.20237213,-0.124741155,4,-0.456675904,3," Canyon County, Idaho","Census Tract 216, Canyon County, Idaho",3,24,25.1252808,64.65517241,1.98511166,23.20237213
1400000US16027021500,"Census Tract 215, Canyon County, Idaho",16027021500,76.15241432,-0.66937973,4,58.8761175,-0.437257657,4,99.32990842,1.154685414,1,16.59300924,-1.147153674,5,-1.099105647,4," Canyon County, Idaho","Census Tract 215, Canyon County, Idaho",4,29,23.84758568,58.8761175,0.67009158,16.59300924
1400000US16027021300,"Census Tract 213, Canyon County, Idaho",16027021300,71.28539797,-2.109532607,5,33.69304556,-2.558696445,5,93.31164136,-1.082078126,5,8.922363847,-2.333737618,5,-8.084044796,5," Canyon County, Idaho","Census Tract 213, Canyon County, Idaho",5,43,28.71460203,33.69304556,6.68835864,8.922363847
1400000US16027021200,"Census Tract 212, Canyon County, Idaho",16027021200,76.29769449,-0.626391248,4,52.80764636,-0.948469716,5,91.7710944,-1.654641495,5,25.4491018,0.222808916,2,-3.006693544,5," Canyon County, Idaho","Census Tract 212, Canyon County, Idaho",5,38,23.70230551,52.80764636,8.2289056,25.4491018
1400000US16027021100,"Census Tract 211, Canyon County, Idaho",16027021100,78.34925474,-0.019333415,3,81.60567467,1.477495409,1,99.82412944,1.338368782,1,31.19595216,1.111798045,1,3.90832882,1," Canyon County, Idaho","Census Tract 211, Canyon County, Idaho",1,4,21.65074526,81.60567467,0.17587056,31.19595216
1400000US16027021002,"Census Tract 210.02, Canyon County, Idaho",16027021002,78.16873251,-0.072750045,3,64.57982182,0.043226202,3,93.74004777,-0.922855574,5,28.09005084,0.631341388,2,-0.321038029,3," Canyon County, Idaho","Census Tract 210.02, Canyon County, Idaho",3,23,21.83126749,64.57982182,6.25995223,28.09005084
1400000US16027021001,"Census Tract 210.01, Canyon County, Idaho",16027021001,78.67979619,0.078473986,3,80.94025012,1.421439601,1,92.61143758,-1.342317538,5,24.48275862,0.073323802,3,0.230919851,3," Canyon County, Idaho","Census Tract 210.01, Canyon County, Idaho",3,21,21.32020381,80.94025012,7.38856242,24.48275862
1400000US16027020902,"Census Tract 209.02, Canyon County, Idaho",16027020902,78.12310267,-0.086251938,4,78.96259159,1.254840326,1,97.59459646,0.509735216,2,33.66949576,1.494434311,1,3.172757916,1," Canyon County, Idaho","Census Tract 209.02, Canyon County, Idaho",1,6,21.87689733,78.96259159,2.40540354,33.66949576
1400000US16027020901,"Census Tract 209.01, Canyon County, Idaho",16027020901,79.52385167,0.328230478,3,85.91426072,1.840453574,1,96.25169471,0.01062914,3,36.59528652,1.947029388,1,4.126342579,1," Canyon County, Idaho","Census Tract 209.01, Canyon County, Idaho",1,3,20.47614833,85.91426072,3.74830529,36.59528652
1400000US16027020700,"Census Tract 207, Canyon County, Idaho",16027020700,80.82013452,0.711801303,2,88.37897853,2.048083047,1,98.66444074,0.907356101,1,38.49388379,2.240726323,1,5.907966774,1," Canyon County, Idaho","Census Tract 207, Canyon County, Idaho",1,1,19.17986548,88.37897853,1.33555926,38.49388379
1400000US16027020602,"Census Tract 206.02, Canyon County, Idaho",16027020602,75.20858164,-0.948660351,5,65.80966999,0.146829432,3,95.7762852,-0.166062698,4,17.22630638,-1.049187965,5,-2.017081582,5," Canyon County, Idaho","Census Tract 206.02, Canyon County, Idaho",5,35,24.79141836,65.80966999,4.2237148,17.22630638
1400000US16027020601,"Census Tract 206.01, Canyon County, Idaho",16027020601,77.27035036,-0.338581828,4,85.01762632,1.764920493,1,98.07796918,0.689386678,2,25.00765228,0.15452041,3,2.270245753,1," Canyon County, Idaho","Census Tract 206.01, Canyon County, Idaho",1,9,22.72964964,85.01762632,1.92203082,25.00765228
1400000US16027020504,"Census Tract 205.04, Canyon County, Idaho",16027020504,71.06795505,-2.173874089,5,61.71128107,-0.198421586,3,98.18576218,0.729449283,2,24.16528926,0.024213978,3,-1.618632414,4," Canyon County, Idaho","Census Tract 205.04, Canyon County, Idaho",4,34,28.93204495,61.71128107,1.81423782,24.16528926
1400000US16027020503,"Census Tract 205.03, Canyon County, Idaho",16027020503,78.3657284,-0.014458849,3,62.75,-0.11091921,3,99.12342216,1.077942236,1,33.59148112,1.482366107,1,2.434930285,1," Canyon County, Idaho","Census Tract 205.03, Canyon County, Idaho",1,8,21.6342716,62.75,0.87657784,33.59148112
1400000US16027020501,"Census Tract 205.01, Canyon County, Idaho",16027020501,78.55528774,0.041631866,3,59.6723869,-0.370179391,4,99.12808178,1.079674042,1,30.16220956,0.95188681,1,1.703013326,2," Canyon County, Idaho","Census Tract 205.01, Canyon County, Idaho",2,11,21.44471226,59.6723869,0.87191822,30.16220956
1400000US16027020402,"Census Tract 204.02, Canyon County, Idaho",16027020402,74.4496124,-1.173239776,5,67.6390155,0.300934719,2,96.31286916,0.033365382,3,25.41070482,0.216869229,2,-0.622070447,3," Canyon County, Idaho","Census Tract 204.02, Canyon County, Idaho",3,26,25.5503876,67.6390155,3.68713084,25.41070482
1400000US16027020401,"Census Tract 204.01, Canyon County, Idaho",16027020401,77.58002391,-0.246949251,4,71.15617433,0.597222526,2,94.15412886,-0.768957205,4,19.86673681,-0.640735718,4,-1.059419647,4," Canyon County, Idaho","Census Tract 204.01, Canyon County, Idaho",4,28,22.41997609,71.15617433,5.84587114,19.86673681
1400000US16027020300,"Census Tract 203, Canyon County, Idaho",16027020300,74.73449448,-1.08894301,5,68.07264206,0.33746371,2,98.17636196,0.725955575,2,19.6338837,-0.676756123,4,-0.702279848,4," Canyon County, Idaho","Census Tract 203, Canyon County, Idaho",4,27,25.26550552,68.07264206,1.82363804,19.6338837
1400000US16027020200,"Census Tract 202, Canyon County, Idaho",16027020200,70.27345845,-2.408966083,5,50.25773196,-1.163276207,5,96.44899905,0.083959741,3,11.86877995,-1.877951976,5,-5.366234524,5," Canyon County, Idaho","Census Tract 202, Canyon County, Idaho",5,42,29.72654155,50.25773196,3.55100095,11.86877995
1400000US16027020100,"Census Tract 201, Canyon County, Idaho",16027020100,77.69787289,-0.212077669,4,42.08416834,-1.851822662,5,99.08571429,1.063927638,1,20.98765432,-0.467339262,4,-1.467311955,4," Canyon County, Idaho","Census Tract 201, Canyon County, Idaho",4,33,22.30212711,42.08416834,0.91428571,20.98765432
,,stdev,3.379513681,,,11.87075115,,,2.690613895,,,6.464477659,,,,,,,,,,,,
,,mean,78.41459228,,,64.06669434,,,96.2230958,,,24.00875854,,,,,,,,,,,,
