School District,GEOID,County,AP classes,AP ZSCORE,AP_index,Gifted Education,Gifted ZSCORE,Gifted_index,Dual enrollment,Dual ZSCORE,Dual_index,IB classes,IB ZSCORE,IB_index,Calculus 1,STEM 1 ZSCORE,Calc_index,Chemistry,STEM2 ZSCORE,Chem_index,Physics,STEM3 ZSCORE,Physics_index,INDEXoverall,INDEX_Overall,School District,County,Overall Ranking,Quintile,School that offers AP classes?,School that offers gifted and talented education?,School that offers dual enrollment/credit recovery?,School that offers IB curriculum?,School offers Calculus 1?,School offers Chemistry?,School offers Physics?
Adrian,4101020,Malheur,0,-0.515461427,3,0,-1.115113564,4,1,0.378785244,1,0,-0.301823307,2,1,0.515461427,1,0,-1.646251781,5,0,-1.646251781,5,-0.618665027,5,Adrian,Malheur,20,5,No,No,Yes,No,Yes,No,No
Annex,4101350,Malheur,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,Annex,Malheur,na,na,na,na,na,na,na,na,na
Arock,4101500,Malheur,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,Arock,Malheur,na,na,na,na,na,na,na,na,na
Caldwell District,1600510,Canyon,1,1.855661138,1,1,0.857779665,1,0,-2.525234958,5,0,-0.301823307,2,1,0.515461427,1,1,0.58103004,1,1,0.58103004,1,0.223414864,3,Caldwell District,Canyon,10,3,Yes,Yes,No,No,Yes,Yes,Yes
Cambridge Joint District,1600570,Washington,0,-0.515461427,3,0,-1.115113564,4,1,0.378785244,1,0,-0.301823307,2,0,-1.855661138,5,1,0.58103004,1,1,0.58103004,1,-0.321030587,4,Cambridge Joint District,Washington,17,4,na,No,Yes,No,No,Yes,Yes
Canyon-Owyhee School Service Agency (COSSA),1600152,Canyon,0,-0.515461427,3,0,-1.115113564,4,1,0.378785244,1,0,-0.301823307,2,0,-1.855661138,5,0,-1.646251781,5,0,-1.646251781,5,-0.957396822,5,Canyon-Owyhee School Service Agency (COSSA),Canyon,22,5,na,No,Yes,No,No,No,No
Fruitland District,1601140,Payette,1,1.855661138,1,1,0.857779665,1,1,0.378785244,1,0,-0.301823307,2,1,0.515461427,1,0,-1.646251781,5,1,0.58103004,1,0.320091775,1,Fruitland District,Payette,5,1,Yes,Yes,Yes,No,Yes,No,Yes
Harper,4106120,Malheur,0,-0.515461427,3,0,-1.115113564,4,1,0.378785244,1,0,-0.301823307,2,0,-1.855661138,5,0,-1.646251781,5,0,-1.646251781,5,-0.957396822,5,Harper,Malheur,22,5,No,No,Yes,No,No,No,No
Heritage Community Charter District,1600161,Canyon,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,Heritage Community Charter District,Canyon,na,na,na,na,na,na,na,na,na
Jordan Valley,4106820,Malheur,0,-0.515461427,3,1,0.857779665,1,1,0.378785244,1,0,-0.301823307,2,0,-1.855661138,5,1,0.58103004,1,0,-1.646251781,5,-0.357371815,4,Jordan Valley,Malheur,18,4,No,Yes,Yes,No,No,Yes,No
Juntura,4106960,Malheur,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,Juntura,Malheur,na,na,na,na,na,na,na,na,na
Legacy Charter School District,1600158,Canyon,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,Legacy Charter School District,Canyon,na,na,na,na,na,na,na,na,na
Liberty Charter,1600012,Canyon,0,-0.515461427,3,0,-1.115113564,4,1,0.378785244,1,0,-0.301823307,2,1,0.515461427,1,1,0.58103004,1,1,0.58103004,1,0.017701208,3,Liberty Charter,Canyon,11,3,No,No,Yes,No,Yes,Yes,Yes
Melba Joint District,1602070,Canyon,0,-0.515461427,3,0,-1.115113564,4,1,0.378785244,1,0,-0.301823307,2,1,0.515461427,1,1,0.58103004,1,1,0.58103004,1,0.017701208,3,Melba Joint District,Canyon,11,3,No,No,Yes,No,Yes,Yes,Yes
Middleton District,1602130,Canyon,1,1.855661138,1,1,0.857779665,1,1,0.378785244,1,0,-0.301823307,2,1,0.515461427,1,1,0.58103004,1,1,0.58103004,1,0.638274893,1,Middleton District,Canyon,2,1,Yes,Yes,Yes,No,Yes,Yes,Yes
Midvale District,1602160,Washington,0,-0.515461427,3,1,0.857779665,1,1,0.378785244,1,0,-0.301823307,2,1,0.515461427,1,0,-1.646251781,5,1,0.58103004,1,-0.01864002,4,Midvale District,Washington,14,4,No,Yes,Yes,No,Yes,No,Yes
Nampa School District,1602340,Canyon,1,1.855661138,1,0,-1.115113564,4,1,0.378785244,1,1,3.169144721,1,1,0.515461427,1,1,0.58103004,1,1,0.58103004,1,0.852285578,1,Nampa School District,Canyon,1,1,Yes,No,Yes,Yes,Yes,Yes,Yes
Notus District,1602460,Canyon,0,-0.515461427,3,1,0.857779665,1,1,0.378785244,1,0,-0.301823307,2,1,0.515461427,1,0,-1.646251781,5,1,0.58103004,1,-0.01864002,4,Notus District,Canyon,14,4,No,Yes,Yes,No,Yes,No,Yes
Nyssa,4109000,Malheur,0,-0.515461427,3,1,0.857779665,1,1,0.378785244,1,0,-0.301823307,2,1,0.515461427,1,1,0.58103004,1,1,0.58103004,1,0.299543098,2,Nyssa,Malheur,6,2,No,Yes,Yes,No,Yes,Yes,Yes
Ontario,4109270,Malheur,0,-0.515461427,3,1,0.857779665,1,1,0.378785244,1,0,-0.301823307,2,1,0.515461427,1,1,0.58103004,1,1,0.58103004,1,0.299543098,2,Ontario,Malheur,6,2,No,Yes,Yes,No,Yes,Yes,Yes
Parma District,1602550,Canyon,0,-0.515461427,3,1,0.857779665,1,1,0.378785244,1,0,-0.301823307,2,1,0.515461427,1,1,0.58103004,1,1,0.58103004,1,0.299543098,2,Parma District,Canyon,6,2,No,Yes,Yes,No,Yes,Yes,Yes
Payette Joint District,1602580,Payette,0,-0.515461427,3,1,0.857779665,1,1,0.378785244,1,0,-0.301823307,2,1,0.515461427,1,1,0.58103004,1,1,0.58103004,1,0.299543098,2,Payette Joint District,Payette,6,2,No,Yes,Yes,No,Yes,Yes,Yes
Vale,4100014,Malheur,0,-0.515461427,3,0,-1.115113564,4,0,-2.525234958,5,0,-0.301823307,2,1,0.515461427,1,1,0.58103004,1,1,0.58103004,1,-0.397158821,5,Vale,Malheur,19,5,No,No,No,No,Yes,Yes,Yes
Vallivue School District,1600600,Canyon,1,1.855661138,1,1,0.857779665,1,1,0.378785244,1,0,-0.301823307,2,1,0.515461427,1,1,0.58103004,1,1,0.58103004,1,0.638274893,1,Vallivue School District,Canyon,2,1,Yes,Yes,Yes,No,Yes,Yes,Yes
Victory Charter School,1600003,Canyon,0,-0.515461427,3,0,-1.115113564,4,1,0.378785244,1,0,-0.301823307,2,1,0.515461427,1,1,0.58103004,1,1,0.58103004,1,0.017701208,3,Victory Charter School,Canyon,11,3,No,No,Yes,No,Yes,Yes,Yes
Vision Charter School,1600141,Canyon,0,-0.515461427,3,1,0.857779665,1,1,0.378785244,1,0,-0.301823307,2,1,0.515461427,1,1,0.58103004,1,0,-1.646251781,5,-0.01864002,4,Vision Charter School,Canyon,14,4,No,Yes,Yes,No,Yes,Yes,No
Weiser District,1603330,Washington,0,-0.515461427,3,0,-1.115113564,4,1,0.378785244,1,1,3.169144721,1,1,0.515461427,1,1,0.58103004,1,1,0.58103004,1,0.513553783,1,Weiser District,Washington,4,1,No,No,Yes,Yes,Yes,Yes,Yes
Wilder District,1603480,Canyon,0,-0.515461427,3,1,0.857779665,1,0,-2.525234958,5,0,-0.301823307,2,0,-1.855661138,5,1,0.58103004,1,0,-1.646251781,5,-0.772231844,5,Wilder District,Canyon,21,5,No,Yes,No,No,No,Yes,No
